Threads,Time (ms),Speedup (x)
1,429.658,1.0
2,215.569,2.01
3,261.121,1.65
4,174.785,2.46
5,171.455,2.51
6,130.996,3.28
7,126.031,3.41
8,105.574,4.07
9,99.352,4.32
10,86.885,4.95
11,82.364,5.21
12,73.892,5.84
13,70.953,6.05
14,64.117,6.76
15,61.009,7.04
16,57.917,7.42
17,56.03,7.67
18,52.405,8.26
19,50.183,8.56
20,46.576,9.22
21,46.337,9.27
22,43.944,9.78
23,43.672,9.84
24,40.723,10.55
25,40.225,10.75
26,39.52,10.87
27,39.218,10.96
28,37.738,11.38
29,36.517,11.76
30,39.92,10.8
31,41.672,10.31
32,44.079,9.75
