Threads,Time (ms),Speedup (x)
1,430.157,1.0
2,216.731,1.99
3,158.123,2.74
4,139.282,3.08
5,119.381,3.62
6,94.611,4.55
7,85.525,5.02
8,73.839,5.82
9,65.635,6.56
10,62.934,6.83
11,57.675,7.5
12,52.011,8.27
13,48.302,8.89
14,45.826,9.37
15,43.387,9.91
16,41.055,10.54
17,40.755,10.59
18,39.998,10.77
19,42.033,10.23
20,45.762,9.39
21,43.704,9.84
22,44.916,9.56
23,43.442,9.97
24,42.619,10.09
25,38.215,11.23
26,42.03,10.22
27,41.615,10.33
28,39.953,10.75
29,39.873,10.78
30,38.591,11.2
31,38.276,11.23
32,40.683,10.57
