Threads,Time (ms),Speedup (x)
1,255.734,1.0
2,130.272,1.96
3,87.16,2.93
4,66.637,3.83
5,53.62,4.79
6,47.218,5.4
7,40.75,6.26
8,36.674,6.97
9,33.88,7.53
10,31.807,8.02
11,28.747,8.88
12,28.419,8.97
13,26.01,9.88
14,24.67,10.35
15,22.954,11.19
16,28.743,8.88
17,29.443,8.72
18,25.887,9.85
19,27.555,9.26
20,27.089,9.42
21,29.187,8.74
22,27.247,9.43
23,23.035,11.16
24,25.706,9.95
25,25.718,9.94
26,25.192,10.14
27,25.452,10.04
28,24.291,10.51
29,24.359,10.49
30,25.041,10.27
31,24.232,10.54
32,24.85,10.28
